train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
220598,0.0021838860120624304,-331.25018310546875,100,1098,0.07959779351949692,150.0,736,110400,464.7731866100001
221798,0.0021217414177954197,-331.03253173828125,100,1104,0.07320154458284378,150.0,740,111000,464.33022013000004
222998,0.0021552734542638063,-331.2696533203125,100,1110,0.07765059918165207,150.0,744,111600,464.20624025000006
224198,0.0025356581900268793,-331.8924560546875,100,1116,0.1383979171514511,150.0,748,112200,463.8711961199999
225398,0.0023675179108977318,-332.4603271484375,100,1121,0.08358898013830185,150.0,752,112800,463.55388315
226598,0.0022623827680945396,-332.3840637207031,100,1127,0.06434448063373566,150.0,756,113400,463.12098805
227798,0.0022771020885556936,-332.54791259765625,100,1133,0.07468555122613907,150.0,760,114000,463.21849345999993
228998,0.0023698140867054462,-332.22515869140625,100,1139,0.09431195259094238,150.0,764,114600,463.2924092899999
230198,0.002217060187831521,-332.79071044921875,100,1145,0.07572705298662186,150.0,768,115200,462.7964859299999
231398,0.002149731619283557,-332.8052978515625,100,1150,0.07164224237203598,150.0,772,115800,462.83563534999996
232598,0.0021686325781047344,-332.6275634765625,100,1156,0.07081780582666397,150.0,776,116400,462.42448484
233798,0.0022256493102759123,-333.7479553222656,100,1162,0.07113929092884064,150.0,780,117000,462.48827694999994
234998,0.002164046047255397,-333.43450927734375,100,1168,0.06742863357067108,150.0,784,117600,462.97333994
236198,0.0020655086264014244,-333.3871154785156,100,1174,0.06489824503660202,150.0,788,118200,463.0288151099999
237398,0.0020288359373807907,-333.61358642578125,100,1180,0.05483825504779816,150.0,792,118800,463.4204227799999
238598,0.001993046374991536,-333.98736572265625,100,1185,0.05792545527219772,150.0,796,119400,463.70869001
239798,0.0020071363542228937,-333.91302490234375,100,1191,0.060121528804302216,150.0,800,120000,463.6478850500001
240998,0.0020504032727330923,-333.8241271972656,100,1197,0.06349248439073563,150.0,804,120600,463.93398852999997
242198,0.0021205127704888582,-334.1407775878906,100,1203,0.06391669064760208,150.0,808,121200,464.12002973
243398,0.002248125383630395,-334.0113220214844,100,1209,0.08728261291980743,150.0,812,121800,463.77667072
244598,0.0021602376364171505,-334.0061950683594,100,1215,0.07907857745885849,150.0,816,122400,463.12378406999994
245798,0.0021458175033330917,-333.7997741699219,100,1220,0.07330278307199478,150.0,820,123000,462.30474011999996
246998,0.002154942601919174,-333.7779846191406,100,1226,0.08150682598352432,150.0,824,123600,462.5458978599999
248198,0.0020231958478689194,-334.1817626953125,100,1232,0.06697515398263931,150.0,828,124200,463.11157328999997
249398,0.0021288860589265823,-334.1189270019531,100,1238,0.09190177917480469,150.0,832,124800,463.5078107500001
250598,0.0022358044516295195,-334.036865234375,100,1244,0.0860724002122879,150.0,836,125400,463.01435069
251798,0.0020810735877603292,-334.2231140136719,100,1250,0.06993494927883148,150.0,840,126000,462.73379045
252998,0.002036802936345339,-334.443359375,100,1256,0.06473227590322495,150.0,844,126600,462.88251904000003
254198,0.0020957719534635544,-334.42425537109375,100,1262,0.06494791805744171,150.0,848,127200,463.29547429999997
255398,0.002047836547717452,-334.4856262207031,100,1268,0.06576331704854965,150.0,852,127800,464.31268217
256598,0.0020151103381067514,-334.9046325683594,100,1274,0.06574337929487228,150.0,856,128400,464.60881238
257798,0.0019972019363194704,-334.91253662109375,100,1280,0.05942781642079353,150.0,860,129000,465.13663634000005
258998,0.0021579633466899395,-334.84869384765625,100,1286,0.0725211650133133,150.0,864,129600,465.68787449
260198,0.0020229972433298826,-334.919921875,100,1292,0.07015746831893921,150.0,868,130200,466.6196319
261398,0.0019407637882977724,-334.8424072265625,100,1298,0.05735625699162483,150.0,872,130800,467.38956946999997
262598,0.0019249885808676481,-335.1466064453125,100,1304,0.057383403182029724,150.0,876,131400,468.36136462
263798,0.0019111259607598186,-335.17578125,100,1310,0.05870458483695984,150.0,880,132000,468.86550987000004
264998,0.001910913735628128,-335.22216796875,100,1316,0.06569605320692062,150.0,884,132600,469.37708766
266198,0.0019376244163140655,-334.90289306640625,100,1322,0.05648401007056236,150.0,888,133200,469.41738281
267398,0.001944574760273099,-335.09381103515625,100,1327,0.06420369446277618,150.0,892,133800,469.12651184000003
268598,0.0019255852093920112,-335.1890869140625,100,1333,0.05823569372296333,150.0,896,134400,469.00124302000006
269798,0.0018754381453618407,-335.0081787109375,100,1339,0.05315903574228287,150.0,900,135000,469.57742138000003
270998,0.001952923834323883,-335.32525634765625,100,1345,0.05978652462363243,150.0,904,135600,470.0461880599999
272198,0.0019529826240614057,-335.26678466796875,100,1351,0.06708607077598572,150.0,908,136200,470.46295938999987
273398,0.0019238983513787389,-335.6193542480469,100,1357,0.05900182947516441,150.0,912,136800,470.87926433999996
274598,0.0018700363580137491,-335.89154052734375,100,1363,0.0577189065515995,150.0,916,137400,471.79099189
275798,0.0019494598964229226,-335.35235595703125,100,1369,0.06461135298013687,150.0,920,138000,472.69383898
276998,0.0019021353218704462,-335.8919677734375,100,1375,0.06054779142141342,150.0,924,138600,472.77756417999996
278198,0.0018846142338588834,-335.7153015136719,100,1381,0.056802380830049515,150.0,928,139200,472.43687460999996
279398,0.0018537996802479029,-335.32757568359375,100,1387,0.055928464978933334,150.0,932,139800,472.16465353000007
280598,0.0018195250304415822,-335.9493408203125,100,1393,0.05850372463464737,150.0,936,140400,472.96882028000005
281798,0.0018886219477280974,-335.745849609375,100,1399,0.05299315229058266,150.0,940,141000,473.48859021000004
282998,0.0018785159336403012,-335.61724853515625,100,1405,0.06250198185443878,150.0,944,141600,473.49144284
284198,0.0018754488555714488,-335.79443359375,100,1411,0.06015731394290924,150.0,948,142200,473.2771678400001
285398,0.0018289447762072086,-335.36004638671875,100,1417,0.057963378727436066,150.0,952,142800,472.90419541000006
286598,0.0017980423290282488,-335.58514404296875,100,1423,0.05301452428102493,150.0,956,143400,472.9484325799999
287798,0.0017744103679433465,-335.28375244140625,100,1428,0.05273238569498062,150.0,960,144000,472.90266257
288998,0.0018034398090094328,-335.363525390625,100,1434,0.0593656487762928,150.0,964,144600,473.3227543300001
290198,0.001774973003193736,-335.2327880859375,100,1440,0.06185043975710869,150.0,968,145200,473.54302106999995
291398,0.0017819515196606517,-335.0726318359375,100,1446,0.0512065552175045,150.0,972,145800,473.69709594
292598,0.0017749958205968142,-335.5434875488281,100,1452,0.05515724793076515,150.0,976,146400,473.70382017
293798,0.0018028568010777235,-335.4283447265625,100,1458,0.05054748058319092,150.0,980,147000,473.68508646000004
294998,0.0018085783813148737,-335.6876220703125,100,1464,0.05376339703798294,150.0,984,147600,473.49424216
296198,0.0018503908067941666,-335.30792236328125,100,1470,0.07353898882865906,150.0,988,148200,473.70520845
297398,0.0018752815667539835,-335.55767822265625,100,1476,0.06340614706277847,150.0,992,148800,474.22255277000005
298598,0.0019119973294436932,-335.26092529296875,100,1482,0.06931015849113464,150.0,996,149400,474.44201393
299798,0.001898056361824274,-335.6641540527344,100,1488,0.05502868443727493,150.0,1000,150000,474.4525262000001
