time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
106176,0.026632528752088547,212150,-2179.01708984375,672,158.0,20.76,0.012376829981803894,0.05739600211381912,5.0,-736.04520038,52,2025
106808,0.025557903572916985,213414,-2180.99853515625,676,158.0,20.52,0.012280325405299664,0.0647045373916626,5.0,-735.9924032000001,52,2037
107440,0.0217844657599926,214678,-2181.298828125,680,158.0,20.33,0.01239321194589138,0.05747765675187111,5.0,-736.25249241,52,2049
108072,0.022064553573727608,215942,-2181.994140625,684,158.0,20.19,0.012227829545736313,0.05666648596525192,5.0,-736.30898944,52,2060
108704,0.02772700786590576,217206,-2183.2421875,688,158.0,20.14,0.012494303286075592,0.09114853292703629,5.0,-735.6452431700001,52,2072
109336,0.026350609958171844,218470,-2183.572998046875,692,158.0,20.07,0.012171170674264431,0.07131515443325043,5.0,-735.1558181099999,52,2084
109968,0.025667965412139893,219734,-2183.70068359375,696,158.0,20.0,0.012272837571799755,0.06948111951351166,5.0,-734.6501628299999,52,2097
110600,0.024638798087835312,220998,-2183.708740234375,700,158.0,19.91,0.012228015810251236,0.06658581644296646,5.0,-733.6125821900001,52,2109
111232,0.026429304853081703,222262,-2184.240234375,704,158.0,19.62,0.012312902137637138,0.06144576519727707,5.0,-733.47444608,52,2121
111864,0.03073682077229023,223526,-2185.173828125,708,158.0,19.61,0.012676224112510681,0.07233618944883347,5.0,-733.3337264599999,52,2133
112496,0.02987033687531948,224790,-2186.9384765625,712,158.0,19.51,0.012472742237150669,0.056474629789590836,5.0,-733.1500161299998,52,2145
113128,0.02711324580013752,226054,-2187.36572265625,716,158.0,19.38,0.012514295056462288,0.05408501997590065,5.0,-733.3507926800002,52,2157
113760,0.02858833782374859,227318,-2188.9033203125,720,158.0,19.13,0.012737341225147247,0.057934559881687164,5.0,-733.6437230199999,52,2169
114392,0.02556823194026947,228582,-2190.48681640625,724,158.0,18.91,0.012664871290326118,0.05392837151885033,5.0,-733.8443812200001,52,2181
115024,0.026450911536812782,229846,-2192.232421875,728,158.0,18.75,0.012533178552985191,0.049605775624513626,5.0,-734.2076526699999,52,2193
115656,0.026965711265802383,231110,-2194.0791015625,732,158.0,18.56,0.012695823796093464,0.052740439772605896,5.0,-734.35116202,52,2205
116288,0.024264730513095856,232374,-2194.11328125,736,158.0,18.68,0.012494582682847977,0.05282806232571602,5.0,-734.15714388,52,2217
116920,0.04380302131175995,233638,-2195.73681640625,740,158.0,18.89,0.01227335911244154,0.07417023181915283,5.0,-734.5980142100001,52,2229
117552,0.02515995316207409,234902,-2196.009033203125,744,158.0,19.12,0.012383612804114819,0.05092326179146767,5.0,-735.79151997,52,2241
