train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
1399286,0.012958367355167866,888,-247.2408447265625,99,0.0013954255264252424,699744,1947.74676703,6999,788.0
1405590,0.011859014630317688,892,-247.48802185058594,99,0.001381565467454493,702896,1948.4356672700003,7030,788.0
1411894,0.013729904778301716,896,-247.27989196777344,99,0.001381469308398664,706048,1948.95769684,7061,788.0
1418198,0.013387571088969707,900,-249.49195861816406,99,0.0013610877795144916,709200,1949.9056345399995,7093,788.0
1424502,0.013030990958213806,904,-250.1023712158203,99,0.0013893769355490804,712352,1950.5814672199997,7124,788.0
1430806,0.012762132100760937,908,-248.0223388671875,99,0.0013927194522693753,715504,1951.3707938300004,7156,788.0
1437110,0.01239756215363741,912,-246.56663513183594,99,0.001372895552776754,718656,1952.1897382600002,7188,788.0
1443414,0.024180470034480095,916,-247.03775024414062,99,0.0014176294207572937,721808,1952.4097670300002,7219,788.0
1449718,0.011212681420147419,920,-247.50460815429688,99,0.0014001578092575073,724960,1952.7388858099998,7250,788.0
1456022,0.013093627989292145,924,-248.96609497070312,99,0.001397811691276729,728112,1952.97427071,7282,788.0
1462326,0.015514456667006016,928,-247.5309600830078,99,0.0013983497628942132,731264,1953.54838684,7313,788.0
1468630,0.010973562486469746,932,-247.97439575195312,100,0.0013852794654667377,734416,1953.87426784,7344,788.0
1474934,0.010285275056958199,936,-249.4259033203125,100,0.0013815609272569418,737568,1954.3669699200002,7374,788.0
1481238,0.011353402398526669,940,-246.50033569335938,100,0.0013847999507561326,740720,1955.0481897599998,7406,788.0
1487542,0.0111542958766222,944,-247.6201934814453,100,0.0013910349225625396,743872,1955.92180834,7438,788.0
1493846,0.010922914370894432,948,-247.61868286132812,100,0.001421108958311379,747024,1956.45844758,7469,788.0
1500150,0.016702456399798393,952,-247.1177978515625,100,0.0014113648794591427,750176,1956.6034283200001,7500,788.0
1506454,0.013125176541507244,956,-246.91799926757812,100,0.0013750576181337237,753328,1957.0074846100001,7533,788.0
1512758,0.013957876712083817,960,-247.41050720214844,99,0.0013991426676511765,756480,1957.1813162099997,7564,788.0
1519062,0.011460629291832447,964,-246.628173828125,99,0.0013963793171569705,759632,1957.4913898,7596,788.0
1525366,0.013143207877874374,968,-248.78184509277344,99,0.0013889543479308486,762784,1958.08461058,7628,788.0
1531670,0.011045983992516994,972,-247.87478637695312,99,0.0013922691578045487,765936,1958.3187594199997,7660,788.0
1537974,0.01436619646847248,976,-248.795654296875,99,0.001373520353808999,769088,1958.8558111399998,7693,788.0
1544278,0.014632530510425568,980,-248.27383422851562,99,0.0013816115679219365,772240,1959.5664243099998,7725,788.0
1550582,0.011091507971286774,984,-250.72686767578125,99,0.0013946227263659239,775392,1960.26778464,7758,788.0
1556886,0.013852263800799847,988,-249.88540649414062,99,0.0013727641198784113,778544,1960.9263290400004,7790,788.0
1563190,0.013560918159782887,992,-247.52886962890625,99,0.0013798715081065893,781696,1961.6496451500002,7822,788.0
1569494,0.014601986855268478,996,-249.3490447998047,99,0.0013934369198977947,784848,1962.0808703699995,7855,788.0
1575798,0.01235196366906166,1000,-250.85140991210938,99,0.0013903439976274967,788000,1962.3367745799999,7888,788.0
1582102,0.013239821419119835,1004,-248.7143096923828,99,0.0013779207365587354,791152,1962.73525102,7921,788.0
1588406,0.014672357589006424,1008,-248.32550048828125,99,0.0013899150071665645,794304,1962.97226434,7954,788.0
1594710,0.012980148196220398,1012,-250.65432739257812,99,0.0014065122231841087,797456,1963.0150896299997,7987,788.0
