train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
1482398,455.27453170999996,98,3453,341400,0.034388165920972824,-306.833740234375,0.0020371805876493454,150.0,2276
1483598,455.45112162,98,3459,342000,0.030755316838622093,-307.3983459472656,0.0020675554405897856,150.0,2280
1484798,455.60269248,98,3465,342600,0.0269472673535347,-307.67303466796875,0.002054046606644988,150.0,2284
1485998,455.68412422,98,3471,343200,0.03508099541068077,-307.8578186035156,0.002053720410913229,150.0,2288
1487198,455.72822079,98,3477,343800,0.02839382365345955,-307.93707275390625,0.002026235219091177,150.0,2292
1488398,455.7490847200001,98,3484,344400,0.02980123832821846,-307.33135986328125,0.0020195110701024532,150.0,2296
1489598,455.69346746,98,3490,345000,0.02648302912712097,-307.47454833984375,0.002044841879978776,150.0,2300
1490798,455.5586015500001,98,3496,345600,0.0312277153134346,-307.3483581542969,0.0020465832203626633,150.0,2304
1491998,455.55025832,98,3502,346200,0.027926960960030556,-307.4261779785156,0.002035493031144142,150.0,2308
1493198,455.6448027800001,98,3508,346800,0.03447844833135605,-307.24639892578125,0.0020464318804442883,150.0,2312
1494398,455.6371408300001,98,3514,347400,0.028010191395878792,-307.41217041015625,0.002057490171864629,150.0,2316
1495598,455.66611706,98,3521,348000,0.028518281877040863,-307.6097106933594,0.002060709986835718,150.0,2320
1496798,455.65433045,98,3527,348600,0.03365460783243179,-307.13958740234375,0.002049952745437622,150.0,2324
1497998,455.69816701999997,98,3533,349200,0.028327278792858124,-306.8207702636719,0.002048912923783064,150.0,2328
1499198,455.4605989499999,98,3539,349800,0.03147366642951965,-307.6296691894531,0.0020412111189216375,150.0,2332
1500398,455.42382143000003,98,3545,350400,0.04163503646850586,-307.49884033203125,0.0020718208979815245,150.0,2336
1501598,455.49079102,98,3552,351000,0.041597116738557816,-307.58935546875,0.002071219030767679,150.0,2340
1502798,455.33017193000006,98,3558,351600,0.03839263319969177,-307.3975830078125,0.0020649954676628113,150.0,2344
1503998,455.17965194,98,3564,352200,0.03352673724293709,-307.79205322265625,0.002047676360234618,150.0,2348
1505198,454.91626614999996,98,3570,352800,0.027976231649518013,-308.0243225097656,0.0020519145764410496,150.0,2352
1506398,454.89036714,98,3576,353400,0.03266933187842369,-308.26812744140625,0.0020348536781966686,150.0,2356
1507598,455.08641054,98,3583,354000,0.03561495617032051,-306.6844177246094,0.00204511103220284,150.0,2360
1508798,455.2620834299999,98,3589,354600,0.029392709955573082,-308.01983642578125,0.002029815223067999,150.0,2364
1509998,455.30875157999986,98,3595,355200,0.029082389548420906,-308.3682861328125,0.0020490819588303566,150.0,2368
1511198,455.3708164899999,98,3601,355800,0.029058752581477165,-307.6636962890625,0.0020397750195115805,150.0,2372
1512398,455.55140525999997,98,3607,356400,0.029447907581925392,-307.17767333984375,0.0020583253353834152,150.0,2376
1513598,455.7643169699999,98,3613,357000,0.028515132144093513,-308.12908935546875,0.0020582007709890604,150.0,2380
1514798,455.69936541999994,98,3619,357600,0.033379409462213516,-307.24053955078125,0.0020481422543525696,150.0,2384
1515998,455.58691659,98,3626,358200,0.03274708241224289,-307.89556884765625,0.0020775003358721733,150.0,2388
1517198,455.412142,98,3632,358800,0.030013157054781914,-307.95477294921875,0.0020868568681180477,150.0,2392
